Date,Open,High,Low,Close,Volume
13-May-16,4.60,4.70,4.37,4.40,2541466
12-May-16,4.70,4.76,4.53,4.59,2746764
11-May-16,4.47,4.78,4.40,4.64,5026899
10-May-16,4.26,4.47,4.26,4.45,3508934
9-May-16,4.37,4.37,4.09,4.21,3173570
6-May-16,4.33,4.50,4.18,4.37,5577974
5-May-16,4.27,4.33,4.03,4.08,2739523
4-May-16,4.15,4.34,4.12,4.16,1831969
3-May-16,4.34,4.41,4.10,4.15,2170663
2-May-16,4.52,4.52,4.32,4.44,2419759
29-Apr-16,4.51,4.65,4.38,4.54,2398956
28-Apr-16,4.61,4.64,4.42,4.46,3143083
27-Apr-16,4.66,4.68,4.48,4.63,3119708
26-Apr-16,4.51,4.59,4.43,4.54,2670836
25-Apr-16,4.52,4.64,4.40,4.45,3128881
22-Apr-16,4.53,4.65,4.43,4.53,3741461
21-Apr-16,4.56,4.73,4.42,4.48,2960606
20-Apr-16,4.49,4.60,4.43,4.55,3677710
19-Apr-16,4.37,4.60,4.37,4.55,4618963
18-Apr-16,4.10,4.33,3.98,4.33,3056966
15-Apr-16,4.06,4.25,3.99,4.24,2539739
14-Apr-16,4.10,4.15,3.95,4.10,2728094
13-Apr-16,4.00,4.10,3.93,4.09,2767994
12-Apr-16,3.90,4.06,3.83,4.02,2484406
11-Apr-16,3.88,3.99,3.79,3.84,1739675
8-Apr-16,3.81,3.91,3.70,3.82,4628984
7-Apr-16,3.75,3.75,3.60,3.67,2631974
6-Apr-16,3.78,3.91,3.67,3.79,1718634
5-Apr-16,3.65,3.85,3.53,3.75,2120427
4-Apr-16,3.92,4.03,3.73,3.79,2097594
1-Apr-16,3.96,4.03,3.90,3.97,2245529
31-Mar-16,4.03,4.18,4.02,4.09,2305597
30-Mar-16,4.23,4.23,3.94,4.04,2502280
29-Mar-16,3.80,4.11,3.75,4.07,2413881
28-Mar-16,4.12,4.13,3.82,3.89,1892413
24-Mar-16,3.70,4.00,3.61,3.97,2370829
23-Mar-16,4.10,4.12,3.80,3.80,2384718
22-Mar-16,4.22,4.23,4.14,4.17,1980574
21-Mar-16,4.16,4.29,4.13,4.25,4545698
18-Mar-16,4.40,4.43,4.11,4.16,5975417
17-Mar-16,4.10,4.44,4.10,4.41,5874164
16-Mar-16,3.94,4.12,3.91,4.08,2393149
15-Mar-16,4.00,4.00,3.75,3.90,2200195
14-Mar-16,4.03,4.12,3.81,4.06,3261053
11-Mar-16,4.00,4.22,3.97,4.13,3171735
